effect,handling_change,heat_change,id,name,notes,power_budget,slot,source,tier
Sumpf und flaches Wasser verlieren fast alle Bremswirkung.,-1,-1,vm_001,Moorlaeufer-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",13,chassis,Sonnenglasweite,gewoehnlich
"Sehr leichter Rahmen fuer Drift, Sprung und seitliche Ausweichfenster.",1,0,vm_002,Rissjaeger-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",16,chassis,Wurzelwald,gewoehnlich
"Langsam, aber Verbundete koennen hinter dir Schildladung aufbauen.",3,1,vm_003,Eidpanzer-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",19,chassis,Eisenbrandkueste,gewoehnlich
"Auf Glas, Salz und Sand gewinnt das Fahrzeug bei Drift Tempo statt es zu verlieren.",-2,2,vm_004,Sandsegler-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",22,chassis,Hochkamm,gewoehnlich
Kann kurz an Waenden und Tunnelkanten haften.,0,-2,vm_005,Schachtspinne-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",25,chassis,Dunkelgrund,gewoehnlich
Ramm- und Harpunenmodule verursachen mehr Haltungsbruch.,2,-1,vm_006,Werftbastion-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",28,chassis,Scherbenkrone,gewoehnlich
"Erlaubt kurze Phasenverschiebung, aber macht den Kern hitzeanfaellig.",-3,0,vm_007,Echo-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",10,chassis,Graumarsch,gewoehnlich
Skaliert im Koop: nahe Fahrzeuge bekommen kleine Laternenbarriere.,-1,1,vm_008,Konvoi-Rahmen,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",13,chassis,Sonnenglasweite,gewoehnlich
Allround-Kern mit stabiler Hitze und guter Resonanzgeneration.,1,2,vm_009,Mondglas-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",16,core,Wurzelwald,veredelt
Staerker bei hoher Geschwindigkeit; schwach bei Stillstand.,3,-2,vm_010,Salzspiegel-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",19,core,Eisenbrandkueste,veredelt
"Regeneriert in Naturzonen, kann aber durch Feuer ueberhitzen.",-2,-1,vm_011,Harzherz-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",22,core,Hochkamm,veredelt
Rammangriffe erzeugen Schockwellen und ziehen leichte Gegner an.,0,0,vm_012,Tiefenglocken-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",25,core,Dunkelgrund,veredelt
"Schild staerker, Schaden niedriger, perfekte Blocks geben Teamenergie.",2,1,vm_013,Eidkern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",28,core,Scherbenkrone,veredelt
"Billig zu reparieren, aber instabil. Kritische Treffer koennen Module resetten.",-3,2,vm_014,Schrottfunken-Kern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",10,core,Graumarsch,veredelt
"Sigile bleiben laenger auf der Strecke, Gegnerdaten werden markiert.",-1,-2,vm_015,Archivkern,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",13,core,Sonnenglasweite,veredelt
"Kurze schwere Frontattacke, bricht Barrikaden und Panzerplatten.",1,-1,vm_016,Kettenramme,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",16,front_weapon,Wurzelwald,veredelt
"Mittlere Reichweite, baut Mondbrand auf.",3,0,vm_017,Funkenkanone,"Vehicle Combat Kernmodul. Werte sind Platzhalter fuer Balancing, Effekt ist kanonisch.",19,front_weapon,Eisenbrandkueste,veredelt
