character,character_id,cooldown,cost,id,multiplayer_hook,name,onfoot_effect,slot,status,tags,unlock,vehicle_effect
Lyra Dorn,char_lyra,0,keine,ab_char_lyra_basic,Erzeugt ein kurzes Synergie-Fenster fuer naechste Duo-Technik.,Lyras Grundkette,"Schnelle Standardkombo, die Ressourcen erzeugt und den Charakterrhythmus lehrt. Spielt schnell, schmutzig, direkt.",basic,Mondbrand,"[""Interceptor / Duellantin"", ""Mondbrand""]",Start,"Im Fahrzeug als kurzer Modul-Impuls ausgefuehrt, ohne den Fahrfluss zu stoppen."
Lyra Dorn,char_lyra,4,keine,ab_char_lyra_heavy,Erzeugt ein kurzes Synergie-Fenster fuer naechste Duo-Technik.,Lyras Brecher,"Langsamer, schwerer Treffer mit hohem Haltungs- und Fahrzeugpanzer-Schaden. Spielt schnell, schmutzig, direkt.",heavy,Mondbrand,"[""Interceptor / Duellantin"", ""Mondbrand""]",Start,"Im Fahrzeug als kurzer Modul-Impuls ausgefuehrt, ohne den Fahrfluss zu stoppen."
Lyra Dorn,char_lyra,8,1 Fokus,ab_char_lyra_skill_1,"Wenn ein zweiter Spieler waehrend Funkenstoss ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Funkenstoss,"Funkenstoss ist eine Kerntechnik fuer Interceptor / Duellantin: sie setzt Mondbrand ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_1,Mondbrand,"[""Graumarsch"", ""Mondbrand"", ""onfoot""]",Prolog: Funken im Schlamm / Bindung 1,"Im Dornwolf wird Funkenstoss als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Lyra Dorn,char_lyra,12,2 Fokus,ab_char_lyra_skill_2,"Wenn ein zweiter Spieler waehrend Dornschritt ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Dornschritt,"Dornschritt ist eine Kerntechnik fuer Interceptor / Duellantin: sie setzt Mondbrand ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_2,Mondbrand,"[""Graumarsch"", ""Mondbrand"", ""onfoot""]",Prolog: Funken im Schlamm / Bindung 1,"Im Dornwolf wird Dornschritt als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Lyra Dorn,char_lyra,16,1 Resonanz,ab_char_lyra_skill_3,"Wenn ein zweiter Spieler waehrend Klingenregen ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Klingenregen,"Klingenregen ist eine Kerntechnik fuer Interceptor / Duellantin: sie setzt Mondbrand ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_3,Mondbrand,"[""Graumarsch"", ""Mondbrand"", ""onfoot""]",Prolog: Funken im Schlamm / Bindung 2,"Im Dornwolf wird Klingenregen als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Lyra Dorn,char_lyra,20,2 Resonanz,ab_char_lyra_skill_4,"Wenn ein zweiter Spieler waehrend Letzter Blick ein passendes Statusfenster trifft, entsteht eine Combo-Variante mit Extra-Stagger.",Letzter Blick,"Letzter Blick ist eine Kerntechnik fuer Interceptor / Duellantin: sie setzt Mondbrand ein, verschiebt Positionen und oeffnet ein klares Zeitfenster fuer Finisher.",skill_4,Mondbrand,"[""Graumarsch"", ""Mondbrand"", ""onfoot""]",Prolog: Funken im Schlamm / Bindung 3,"Im Dornwolf wird Letzter Blick als Fahrzeugtechnik gelesen: kurzer Drift, Modulimpuls oder Bordwaffenfenster mit derselben Statuslogik."
Lyra Dorn,char_lyra,90,volle Resonanz,ab_char_lyra_ultimate,"Andere Spieler koennen innerhalb von 5 Sekunden einen Ultimate-Anker setzen, wodurch eine Konvoi-Ultimate entsteht.",Hausbrand,"Ultimative Charaktertechnik: Hausbrand verwandelt den persoenlichen Konflikt von Lyra Dorn in ein grosses Kampfereignis mit Schadens-, Kontroll- und Story-Callout.",ultimate,Mondbrand,"[""ultimate"", ""Mondbrand""]",Bindung 3 oder Story-Schluessel fuer Lyra Dorn,"Im Fahrzeug loest Hausbrand einen Signatur-Overdrive des Dornwolf aus, inklusive Spezialkamera und Teamfenster."
Lyra Dorn,char_lyra,0,passiv,ab_char_lyra_passive_1,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Narbeninstinkt,"Passiver Bonus, der Lyra Dorns Thema 'Rache, Ueberleben, Verantwortung' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Mondbrand und Dialog-/Questloesungen.",passive_1,Mondbrand,"[""passive""]",Talentreihe 1,"Gibt dem Dornwolf einen kleinen, aber buildpraegenden Bonus."
Lyra Dorn,char_lyra,0,passiv,ab_char_lyra_passive_2,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Regionale Handschrift,"Passiver Bonus, der Lyra Dorns Thema 'Rache, Ueberleben, Verantwortung' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Mondbrand und Dialog-/Questloesungen.",passive_2,Mondbrand,"[""passive""]",Talentreihe 2,"Gibt dem Dornwolf einen kleinen, aber buildpraegenden Bonus."
Lyra Dorn,char_lyra,0,passiv,ab_char_lyra_passive_3,"Wird im Koop geteilt, wenn die Bindung zwischen den Figuren hoch genug ist.",Bindungsschwur,"Passiver Bonus, der Lyra Dorns Thema 'Rache, Ueberleben, Verantwortung' mechanisch spuerbar macht. Verbessert Ressourcenfluss, Reaktion auf Mondbrand und Dialog-/Questloesungen.",passive_3,Mondbrand,"[""passive""]",Talentreihe 3,"Gibt dem Dornwolf einen kleinen, aber buildpraegenden Bonus."
Lyra Dorn,char_lyra,10,Hitze 20,ab_char_lyra_vehicle_1,"Kann mit Ramme, Harpune, Schild oder Sigil eines anderen Fahrzeugs verkettet werden.",Rissdrift,"Nicht zu Fuss nutzbar, aber kann durch Companion-Callout vorbereitet werden.",vehicle_skill_1,Mondbrand,"[""vehicle"", ""leichter Rissjaeger"", ""Mondbrand""]",Dornwolf Modulstufe 1,"Rissdrift ist die Signaturtechnik des Dornwolf (leichter Rissjaeger). Sie greift direkt in Lenkung, Gegnerformation und Fahrzeugpanzerung ein."
