effect,id,name,participants,reward_note,trigger,type
"Kombiniert Interceptor / Duellantin mit Controller / Runenbrecherin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Archivspinne ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_mira,Lyra + Mira: Mondbrand trifft Siegelriss,"[""Lyra Dorn"", ""Mira Voss""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Mira Voss trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Skirmisher / Taeuscher: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Glasfuchs ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_tarek,Lyra + Tarek: Mondbrand trifft Schuldmarke,"[""Lyra Dorn"", ""Tarek al-Sahir""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Tarek al-Sahir trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Ranger / Fallenbinderin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Moorkaefer ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_siofra,Lyra + Siofra: Mondbrand trifft Harzbindung,"[""Lyra Dorn"", ""Siofra Nhal""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Siofra Nhal trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Bruiser / Harpunierer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Riffbrecher ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_brannok,Lyra + Brannok: Mondbrand trifft Tiefenruf,"[""Lyra Dorn"", ""Brannok Reef""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Brannok Reef trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Tank / Bannstandarte: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Eidpanzer ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_edda,Lyra + Edda: Mondbrand trifft Eidmarke,"[""Lyra Dorn"", ""Edda Falkenlicht""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Edda Falkenlicht trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Assassin / Debuffer: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Schachtmaus ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_kael,Lyra + Kael: Mondbrand trifft Rostbruch,"[""Lyra Dorn"", ""Kael Nhar""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Kael Nhar trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Support / Heiler-Monk: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Pilgerglocke ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_oren,Lyra + Oren: Mondbrand trifft Wundlicht,"[""Lyra Dorn"", ""Oren Vale""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Oren Vale trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Engineer / Drohnenkern: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Kranhexe ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_yara,Lyra + Yara: Mondbrand trifft Ueberladung,"[""Lyra Dorn"", ""Yara Kest""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Yara Kest trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Echo-Mage / Opfermagie: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Traumsaege ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_neris,Lyra + Neris: Mondbrand trifft Echohunger,"[""Lyra Dorn"", ""Neris Vael""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Neris Vael trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
"Kombiniert Interceptor / Duellantin mit Lancer / Verfolgerin: erzeugt Extra-Stagger, ein kurzes Zeitlupenfenster und einen Teamfunken. Im Vehicle Combat koppeln Dornwolf und Sturmwidder ihre Module fuer ein Konvoi-Manoever.",combo_char_lyra_char_velka,Lyra + Velka: Mondbrand trifft Sturmjagd,"[""Lyra Dorn"", ""Velka Sturmtritt""]",Zaehlt fuer Bindungsfortschritt beider Figuren und kann spezielle Banter ausloesen.,Lyra Dorn setzt Mondbrand und Velka Sturmtritt trifft innerhalb von 3 Sekunden mit einer Kerntechnik.,duo
