category,character,drop_rule,effect,id,lore,name,region,salvage,source_type,tier
character_gear,Lyra Dorn,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Lyra Dorns Mondbrand-Loop und fuegt eine kleine Interaktion mit Dornwolf hinzu.,loot_char_lyra_1,"Ein Teil, das sichtbar aus Graumarsch stammt und Rache, Ueberleben, Verantwortung mechanisch spuerbar macht.",Doppelklinge + Funkenpistole - Feldfassung,Graumarsch,Eisenschrott,random_drop_or_quest_focus,gewoehnlich
character_gear,Lyra Dorn,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Lyra Dorns Mondbrand-Loop und fuegt eine kleine Interaktion mit Dornwolf hinzu.,loot_char_lyra_2,"Ein Teil, das sichtbar aus Graumarsch stammt und Rache, Ueberleben, Verantwortung mechanisch spuerbar macht.",Doppelklinge + Funkenpistole - Laternenfassung,Graumarsch,Mondglasstaub,random_drop_or_quest_focus,veredelt
character_gear,Lyra Dorn,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Lyra Dorns Mondbrand-Loop und fuegt eine kleine Interaktion mit Dornwolf hinzu.,loot_char_lyra_3,"Ein Teil, das sichtbar aus Graumarsch stammt und Rache, Ueberleben, Verantwortung mechanisch spuerbar macht.",Doppelklinge + Funkenpistole - Mondbrand-Mod,Graumarsch,Scherbenglimm,random_drop_or_quest_focus,selten
character_gear,Lyra Dorn,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Lyra Dorns Mondbrand-Loop und fuegt eine kleine Interaktion mit Dornwolf hinzu.,loot_char_lyra_4,"Ein Teil, das sichtbar aus Graumarsch stammt und Rache, Ueberleben, Verantwortung mechanisch spuerbar macht.",Lyras Signaturgriff,Graumarsch,Signaturkern,random_drop_or_quest_focus,signatur
character_gear,Lyra Dorn,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Lyra Dorns Mondbrand-Loop und fuegt eine kleine Interaktion mit Dornwolf hinzu.,loot_char_lyra_5,"Ein Teil, das sichtbar aus Graumarsch stammt und Rache, Ueberleben, Verantwortung mechanisch spuerbar macht.",Relikt: Hausbrand,Graumarsch,Reliktfragment,random_drop_or_quest_focus,relikt
character_gear,Lyra Dorn,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Lyra Dorns Mondbrand-Loop und fuegt eine kleine Interaktion mit Dornwolf hinzu.,loot_char_lyra_6,"Ein Teil, das sichtbar aus Graumarsch stammt und Rache, Ueberleben, Verantwortung mechanisch spuerbar macht.",Mythos: Dornwolf Herzsplitter,Graumarsch,Mythensplitter,random_drop_or_quest_focus,mythisch
character_gear,Mira Voss,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Mira Vosss Siegelriss-Loop und fuegt eine kleine Interaktion mit Archivspinne hinzu.,loot_char_mira_1,"Ein Teil, das sichtbar aus Graumarsch/Scherbenkrone stammt und Wahrheit, Schuld, Archivmagie mechanisch spuerbar macht.",Runenklingen + Archivsigil - Feldfassung,Graumarsch/Scherbenkrone,Eisenschrott,random_drop_or_quest_focus,gewoehnlich
character_gear,Mira Voss,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Mira Vosss Siegelriss-Loop und fuegt eine kleine Interaktion mit Archivspinne hinzu.,loot_char_mira_2,"Ein Teil, das sichtbar aus Graumarsch/Scherbenkrone stammt und Wahrheit, Schuld, Archivmagie mechanisch spuerbar macht.",Runenklingen + Archivsigil - Laternenfassung,Graumarsch/Scherbenkrone,Mondglasstaub,random_drop_or_quest_focus,veredelt
character_gear,Mira Voss,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Mira Vosss Siegelriss-Loop und fuegt eine kleine Interaktion mit Archivspinne hinzu.,loot_char_mira_3,"Ein Teil, das sichtbar aus Graumarsch/Scherbenkrone stammt und Wahrheit, Schuld, Archivmagie mechanisch spuerbar macht.",Runenklingen + Archivsigil - Siegelriss-Mod,Graumarsch/Scherbenkrone,Scherbenglimm,random_drop_or_quest_focus,selten
character_gear,Mira Voss,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Mira Vosss Siegelriss-Loop und fuegt eine kleine Interaktion mit Archivspinne hinzu.,loot_char_mira_4,"Ein Teil, das sichtbar aus Graumarsch/Scherbenkrone stammt und Wahrheit, Schuld, Archivmagie mechanisch spuerbar macht.",Miras Signaturgriff,Graumarsch/Scherbenkrone,Signaturkern,random_drop_or_quest_focus,signatur
character_gear,Mira Voss,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Mira Vosss Siegelriss-Loop und fuegt eine kleine Interaktion mit Archivspinne hinzu.,loot_char_mira_5,"Ein Teil, das sichtbar aus Graumarsch/Scherbenkrone stammt und Wahrheit, Schuld, Archivmagie mechanisch spuerbar macht.",Relikt: Offenes Archiv,Graumarsch/Scherbenkrone,Reliktfragment,random_drop_or_quest_focus,relikt
character_gear,Mira Voss,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Mira Vosss Siegelriss-Loop und fuegt eine kleine Interaktion mit Archivspinne hinzu.,loot_char_mira_6,"Ein Teil, das sichtbar aus Graumarsch/Scherbenkrone stammt und Wahrheit, Schuld, Archivmagie mechanisch spuerbar macht.",Mythos: Archivspinne Herzsplitter,Graumarsch/Scherbenkrone,Mythensplitter,random_drop_or_quest_focus,mythisch
character_gear,Tarek al-Sahir,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Tarek al-Sahirs Schuldmarke-Loop und fuegt eine kleine Interaktion mit Glasfuchs hinzu.,loot_char_tarek_1,"Ein Teil, das sichtbar aus Sonnenglasweite stammt und Schuld, Charme, Flucht und Bindung mechanisch spuerbar macht.",Speer + Spiegelkoeder - Feldfassung,Sonnenglasweite,Eisenschrott,random_drop_or_quest_focus,gewoehnlich
character_gear,Tarek al-Sahir,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Tarek al-Sahirs Schuldmarke-Loop und fuegt eine kleine Interaktion mit Glasfuchs hinzu.,loot_char_tarek_2,"Ein Teil, das sichtbar aus Sonnenglasweite stammt und Schuld, Charme, Flucht und Bindung mechanisch spuerbar macht.",Speer + Spiegelkoeder - Laternenfassung,Sonnenglasweite,Mondglasstaub,random_drop_or_quest_focus,veredelt
character_gear,Tarek al-Sahir,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Tarek al-Sahirs Schuldmarke-Loop und fuegt eine kleine Interaktion mit Glasfuchs hinzu.,loot_char_tarek_3,"Ein Teil, das sichtbar aus Sonnenglasweite stammt und Schuld, Charme, Flucht und Bindung mechanisch spuerbar macht.",Speer + Spiegelkoeder - Schuldmarke-Mod,Sonnenglasweite,Scherbenglimm,random_drop_or_quest_focus,selten
character_gear,Tarek al-Sahir,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Tarek al-Sahirs Schuldmarke-Loop und fuegt eine kleine Interaktion mit Glasfuchs hinzu.,loot_char_tarek_4,"Ein Teil, das sichtbar aus Sonnenglasweite stammt und Schuld, Charme, Flucht und Bindung mechanisch spuerbar macht.",Tareks Signaturgriff,Sonnenglasweite,Signaturkern,random_drop_or_quest_focus,signatur
character_gear,Tarek al-Sahir,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Tarek al-Sahirs Schuldmarke-Loop und fuegt eine kleine Interaktion mit Glasfuchs hinzu.,loot_char_tarek_5,"Ein Teil, das sichtbar aus Sonnenglasweite stammt und Schuld, Charme, Flucht und Bindung mechanisch spuerbar macht.",Relikt: Hundert Vertraege,Sonnenglasweite,Reliktfragment,random_drop_or_quest_focus,relikt
character_gear,Tarek al-Sahir,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Tarek al-Sahirs Schuldmarke-Loop und fuegt eine kleine Interaktion mit Glasfuchs hinzu.,loot_char_tarek_6,"Ein Teil, das sichtbar aus Sonnenglasweite stammt und Schuld, Charme, Flucht und Bindung mechanisch spuerbar macht.",Mythos: Glasfuchs Herzsplitter,Sonnenglasweite,Mythensplitter,random_drop_or_quest_focus,mythisch
character_gear,Siofra Nhal,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Siofra Nhals Harzbindung-Loop und fuegt eine kleine Interaktion mit Moorkaefer hinzu.,loot_char_siofra_1,"Ein Teil, das sichtbar aus Wurzelwald Nhal stammt und Namen, Erinnerung, Naturresonanz mechanisch spuerbar macht.",Harzbogen + lebende Fallen - Feldfassung,Wurzelwald Nhal,Eisenschrott,random_drop_or_quest_focus,gewoehnlich
character_gear,Siofra Nhal,"Kann nur droppen, wenn der Charakter freigeschaltet oder als Zielbeute markiert ist.",Verbessert Siofra Nhals Harzbindung-Loop und fuegt eine kleine Interaktion mit Moorkaefer hinzu.,loot_char_siofra_2,"Ein Teil, das sichtbar aus Wurzelwald Nhal stammt und Namen, Erinnerung, Naturresonanz mechanisch spuerbar macht.",Harzbogen + lebende Fallen - Laternenfassung,Wurzelwald Nhal,Mondglasstaub,random_drop_or_quest_focus,veredelt
