character,character_id,cost,database_note,drawback,effect,id,name,tier,unlock
Lyra Dorn,char_lyra,3 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_01,Taktischer Einstieg: Lyra,1,Level 2 oder Bindung 1
Lyra Dorn,char_lyra,4 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_02,Sicherer Rhythmus: Lyra,1,Level 4 oder Bindung 1
Lyra Dorn,char_lyra,5 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_03,Statusmeisterschaft: Lyra,1,Level 6 oder Bindung 1
Lyra Dorn,char_lyra,8 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_04,Riskanter Vorteil: Lyra,2,Level 8 oder Bindung 2
Lyra Dorn,char_lyra,9 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_05,Fahrzeugkopplung: Lyra,2,Level 10 oder Bindung 2
Lyra Dorn,char_lyra,10 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_06,Companion-Callout: Lyra,2,Level 12 oder Bindung 2
Lyra Dorn,char_lyra,13 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_07,Regionale Praxis: Lyra,3,Level 14 oder Bindung 3
Lyra Dorn,char_lyra,14 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_08,Signaturmod: Lyra,3,Level 16 oder Bindung 3
Lyra Dorn,char_lyra,15 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_09,Meisterschaftsknoten: Lyra,3,Level 18 oder Bindung 3
Lyra Dorn,char_lyra,18 Laternenfunken,"Pflichtknoten fuer Builds, die Interceptor / Duellantin mit Vehicle Combat verbinden.","Keine reine Zahlensteigerung: der Knoten veraendert Timing, Risiko oder Teamnutzen.","Verbessert Lyra Dorns Mondbrand-Spiel: mehr Kontrolle, sauberere Fahrzeugkopplung und ein zusaetzlicher Quest-/Dialog-Nutzen in Graumarsch.",up_char_lyra_10,Koop-Resonanz: Lyra,4,Level 20 oder Bindung 4
